idx,tactile_timestamp,arm_joint_pos,hand_curr_joint_pos,hand_target_joint_pos
0,1708577285.7579913,"[ 1.99516884e-03  5.19558868e-03  3.83509961e-03  6.95748756e-04
 -1.56995558e+00 -1.97074228e-03]","[ 1.80089343e+00  1.99417509e-02 -5.21553457e-02 -1.47262156e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57539833e+00 -6.13592332e-03  4.35650557e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
1,1708577286.0049121,"[ 1.99462054e-03  5.01851710e-03  3.54392916e-03  6.95748756e-04
 -1.56992618e+00 -1.97167261e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -6.13592332e-03  4.37184513e-01 -3.40543747e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
2,1708577286.0975742,"[ 1.99462054e-03  4.94529981e-03  3.43620225e-03  6.95748756e-04
 -1.56989903e+00 -1.97112974e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
3,1708577286.2509334,"[ 1.99407225e-03  4.92141332e-03  3.38757124e-03  6.94888558e-04
 -1.56987641e+00 -1.97067735e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
4,1708577286.3792186,"[ 1.99352395e-03  4.89804610e-03  3.35740771e-03  6.94888558e-04
 -1.56985606e+00 -1.97027020e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  7.66990380e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
5,1708577286.4838865,"[ 1.99352395e-03  4.88298723e-03  3.33832466e-03  6.94888558e-04
 -1.56983118e+00 -1.97129101e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
6,1708577286.600465,"[ 1.99297565e-03  4.86948617e-03  3.32108835e-03  6.94888558e-04
 -1.56980629e+00 -1.97079338e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
7,1708577286.7431822,"[ 1.99297565e-03  4.85546584e-03  3.30692996e-03  6.94888558e-04
 -1.56978820e+00 -1.97043147e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
8,1708577286.8702955,"[ 1.99242736e-03  4.84456114e-03  3.29769622e-03  6.94888558e-04
 -1.56976784e+00 -1.97002432e-03]","[ 1.80089343e+00  1.68737881e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
9,1708577286.9978929,"[ 1.99187906e-03  4.83729134e-03  3.28846249e-03  6.94888558e-04
 -1.56974673e+00 -1.96960209e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
10,1708577287.1056194,"[ 1.99187906e-03  4.82794445e-03  3.27984433e-03  6.94888558e-04
 -1.56971883e+00 -1.97056258e-03]","[ 1.80089343e+00  1.99417509e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
11,1708577287.250211,"[ 1.99187906e-03  4.82379028e-03  3.27676642e-03  6.94888558e-04
 -1.56970224e+00 -1.97023083e-03]","[ 1.80089343e+00  1.84077695e-02 -4.90873866e-02 -1.45728171e-01
  3.37475762e-02  0.00000000e+00  4.60194238e-03  1.53398083e-03
  3.83495204e-02  0.00000000e+00  6.13592332e-03  0.00000000e+00
  1.57386434e+00 -7.66990380e-03  4.37184513e-01 -3.39009762e-01]","[ 1.79180637  0.02801483 -0.06475065 -0.15892083  0.          0.
  0.          0.          0.          0.          0.          0.
  1.56874203 -0.010672    0.41290694 -0.36121452]"
